"検索件数：135件"
"受渡日：2024/1/1-2024/9/1"
"種類：すべて"
"口座：すべて"

"商品","受取額(税引後)"
"国内株式(現物)","53,775円"
"米国株式","784,587.51円(5,198.55USD)"
"外貨建MMF","5,923.32円(39.07USD)"
"外貨建債券","115,481.08円(750.25USD)"
"合計","959,766.93円"

"受渡日","口座","商品","銘柄名","数量","受取額(税引後)"
"2024/6/14","NISA（成長投資枠）","国内株式(現物)","沖縄セルラー電話 9436","28","1,680円"
"2024/6/10","旧NISA","米国株式","iシェアーズ コア 米国総合債券市場 ETF AGG","93","3,912.04円"
"2024/6/10","特定/一般","米国株式","iシェアーズ iBoxx USD Hイールド社債 ETF HYG","94","3,752.59円"
"2024/6/10","旧NISA","米国株式","iシェアーズ iBoxx USD Hイールド社債 ETF HYG","39","1,949.05円"
"2024/6/10","特定/一般","米国株式","iシェアーズ優先株式&インカム証券ETF PFF","2,973","54,133.96円"
"2024/6/7","特定/一般","国内株式(現物)","三菱ＨＣキャピタル 8593","206","3,120円"
"2024/6/6","NISA（成長投資枠）","国内株式(現物)","ニホンフラッシュ 7820","85","1,530円"
"2024/6/6","旧NISA","米国株式","バンガード　米国トータル債券市場ETF BND","56","1,705.01円"
"2024/6/6","旧NISA","米国株式","インターナショナル債券ETF米ドルヘッジ BNDX","1","13.88円"
"2024/6/6","特定/一般","米国株式","JPモルガン エクイティ プレミアム ETF JEPI","27","1,081.64円"
"2024/6/6","特定/一般","米国株式","JPM ウルトラ ショート インカム ETF JPST","1,210","29,961.97円"
"2024/6/6","旧NISA","米国株式","JPM ウルトラ ショート インカム ETF JPST","4","124.98円"
"2024/6/6","特定/一般","米国株式","バンガード 米国短期社債 ETF VCSH","60","1,720.44円"
"2024/6/6","旧NISA","米国株式","バンガード 米国短期社債 ETF VCSH","7","251.5円"
"2024/6/6","特定/一般","米国株式","バンガード 米ドル建て新興国政府債券ETF VWOB","199","6,999.04円"
"2024/6/4","特定/一般","国内株式(現物)","オリックス 8591","32","1,424円"
"2024/6/3","NISA（成長投資枠）","国内株式(現物)","旭化成 3407","95","1,710円"
"2024/6/3","NISA（成長投資枠）","国内株式(現物)","丸紅 8002","69","3,002円"
"2024/6/3","特定/一般","国内株式(現物)","丸紅 8002","2","70円"
"2024/5/31","特定/一般","外貨建MMF","ﾆｯｺｳ・ﾏﾈｰ・ﾏｰｹｯﾄ・ﾌｧﾝﾄﾞ(米ﾄﾞﾙ)","207,007","714.18円"
"2024/5/17","特定/一般","外貨建債券","アメリカ国債 4.0% 20421115",,"73,673円"
"2024/5/8","旧NISA","米国株式","iシェアーズ コア 米国総合債券市場 ETF AGG","93","3,778.75円"
"2024/5/8","旧NISA","米国株式","インターナショナル債券ETF米ドルヘッジ BNDX","1","13.77円"
"2024/5/8","特定/一般","米国株式","iシェアーズ iBoxx USD Hイールド社債 ETF HYG","94","4,143.15円"
"2024/5/8","旧NISA","米国株式","iシェアーズ iBoxx USD Hイールド社債 ETF HYG","39","2,149.66円"
"2024/5/8","特定/一般","米国株式","iシェアーズ優先株式&インカム証券ETF PFF","2,973","52,276.34円"
"2024/5/8","特定/一般","米国株式","バンガード 米ドル建て新興国政府債券ETF VWOB","199","6,726.12円"
"2024/5/7","旧NISA","米国株式","バンガード　米国トータル債券市場ETF BND","56","1,672.4円"
"2024/5/7","特定/一般","米国株式","JPモルガン エクイティ プレミアム ETF JEPI","16","581.77円"
"2024/5/7","特定/一般","米国株式","JPM ウルトラ ショート インカム ETF JPST","1,210","30,447.77円"
"2024/5/7","旧NISA","米国株式","JPM ウルトラ ショート インカム ETF JPST","4","127.21円"
"2024/5/7","特定/一般","米国株式","バンガード 米国短期社債 ETF VCSH","60","1,664.65円"
"2024/5/7","旧NISA","米国株式","バンガード 米国短期社債 ETF VCSH","7","243.56円"
"2024/4/30","特定/一般","外貨建MMF","ﾆｯｺｳ・ﾏﾈｰ・ﾏｰｹｯﾄ・ﾌｧﾝﾄﾞ(米ﾄﾞﾙ)","75,785","253.8円"
"2024/4/12","特定/一般","米国株式","バンガード 米ドル建て新興国政府債券ETF VWOB","199","6,817.97円"
"2024/4/8","旧NISA","米国株式","iシェアーズ コア 米国総合債券市場 ETF AGG","93","3,644.75円"
"2024/4/8","特定/一般","米国株式","iシェアーズ iBoxx USD Hイールド社債 ETF HYG","94","4,010.73円"
"2024/4/8","旧NISA","米国株式","iシェアーズ iBoxx USD Hイールド社債 ETF HYG","39","2,081.86円"
"2024/4/8","特定/一般","米国株式","iシェアーズ優先株式&インカム証券ETF PFF","2,973","50,090.66円"
"2024/4/8","旧NISA","米国株式","iシェアーズ 米国国債 20年超 ETF TLT","8","337.47円"
"2024/4/8","特定/一般","米国株式","バンガード 米国短期社債 ETF VCSH","60","1,607.89円"
"2024/4/8","旧NISA","米国株式","バンガード 米国短期社債 ETF VCSH","7","235.48円"
"2024/4/5","旧NISA","米国株式","バンガード　米国トータル債券市場ETF BND","56","1,644.57円"
"2024/4/5","旧NISA","米国株式","インターナショナル債券ETF米ドルヘッジ BNDX","1","13.56円"
"2024/4/5","旧NISA","米国株式","バンガード 超長期米国債 ETF EDV","54","5,633.15円"
"2024/4/5","特定/一般","米国株式","JPモルガン エクイティ プレミアム ETF JEPI","16","599.94円"
"2024/4/5","特定/一般","米国株式","JPM ウルトラ ショート インカム ETF JPST","1,210","28,863.69円"
"2024/4/5","旧NISA","米国株式","JPM ウルトラ ショート インカム ETF JPST","4","120.59円"
"2024/3/29","特定/一般","国内株式(現物)","キヤノン 7751","25","1,395円"
"2024/3/28","特定/一般","外貨建MMF","ﾆｯｺｳ・ﾏﾈｰ・ﾏｰｹｯﾄ・ﾌｧﾝﾄﾞ(米ﾄﾞﾙ)","5,455","3.01円"
"2024/3/26","特定/一般","国内株式(現物)","ＣＤＳ 2169","31","841円"
"2024/3/21","特定/一般","米国株式","SPDRポートフォリオS&P 500高配当株式ETF SPYD","203","8,088.67円"
"2024/3/8","旧NISA","米国株式","iシェアーズ コア 米国総合債券市場 ETF AGG","93","3,546.55円"
"2024/3/8","特定/一般","米国株式","iシェアーズ iBoxx USD Hイールド社債 ETF HYG","94","4,373.99円"
"2024/3/8","旧NISA","米国株式","iシェアーズ iBoxx USD Hイールド社債 ETF HYG","39","2,278.02円"
"2024/3/8","特定/一般","米国株式","iシェアーズ優先株式&インカム証券ETF PFF","2,973","53,738.66円"
"2024/3/8","旧NISA","米国株式","iシェアーズ 米国国債 20年超 ETF TLT","8","315.28円"
"2024/3/7","旧NISA","米国株式","バンガード　米国トータル債券市場ETF BND","56","1,520.31円"
"2024/3/7","旧NISA","米国株式","インターナショナル債券ETF米ドルヘッジ BNDX","1","13.41円"
"2024/3/7","特定/一般","米国株式","JPモルガン エクイティ プレミアム ETF JEPI","16","517.2円"
"2024/3/7","特定/一般","米国株式","JPM ウルトラ ショート インカム ETF JPST","1,210","27,677.09円"
"2024/3/7","旧NISA","米国株式","JPM ウルトラ ショート インカム ETF JPST","4","116.25円"
"2024/3/7","特定/一般","米国株式","バンガード 米国短期社債 ETF VCSH","60","1,471.12円"
"2024/3/7","旧NISA","米国株式","バンガード 米国短期社債 ETF VCSH","7","214.63円"
"2024/3/7","特定/一般","米国株式","バンガード 米ドル建て新興国政府債券ETF VWOB","199","6,729.6円"
"2024/2/8","旧NISA","米国株式","iシェアーズ コア 米国総合債券市場 ETF AGG","93","3,607.37円"
"2024/2/8","特定/一般","米国株式","iシェアーズ iBoxx USD Hイールド社債 ETF HYG","94","3,813円"
"2024/2/8","旧NISA","米国株式","iシェアーズ iBoxx USD Hイールド社債 ETF HYG","39","1,981.41円"
"2024/2/8","特定/一般","米国株式","iシェアーズ優先株式&インカム証券ETF PFF","2,973","55,391.38円"
"2024/2/8","旧NISA","米国株式","iシェアーズ 米国国債 20年超 ETF TLT","8","329.01円"
"2024/2/7","旧NISA","米国株式","バンガード　米国トータル債券市場ETF BND","56","1,580.17円"
"2024/2/7","旧NISA","米国株式","インターナショナル債券ETF米ドルヘッジ BNDX","1","13.29円"
"2024/2/7","特定/一般","米国株式","JPモルガン エクイティ プレミアム ETF JEPI","16","510.97円"
"2024/2/7","特定/一般","米国株式","JPM ウルトラ ショート インカム ETF JPST","1,210","28,029.66円"
"2024/2/7","旧NISA","米国株式","JPM ウルトラ ショート インカム ETF JPST","4","116.66円"
"2024/2/7","特定/一般","米国株式","バンガード 米国短期社債 ETF VCSH","60","1,491.56円"
"2024/2/7","旧NISA","米国株式","バンガード 米国短期社債 ETF VCSH","7","218.56円"
"2024/2/7","特定/一般","米国株式","バンガード 米ドル建て新興国政府債券ETF VWOB","199","5,812.68円"
"2024/1/22","特定/一般","国内株式(現物)","ＴＡＫＡＲＡ　＆　ＣＯＭＰＡＮＹ 7921","21","670円"
"2024/1/18","特定/一般","外貨建債券","三井住友フィナンシャル 5.766% 20330113",,"20,064.23円"
"2024/1/12","特定/一般","米国株式","JPモルガン エクイティ プレミアム ETF JEPI","16","699.92円"
"2024/1/12","特定/一般","米国株式","JPM ウルトラ ショート インカム ETF JPST","1,210","29,157.44円"
"2024/1/12","旧NISA","米国株式","JPM ウルトラ ショート インカム ETF JPST","4","121.11円"

